time 1685445127 616606, type 3, code 1, value 36633
time 1685445127 616606, type 0, code 0, value 0
time 1685445127 623749, type 3, code 0, value 39261
time 1685445127 623749, type 3, code 1, value 36495
time 1685445127 623749, type 0, code 0, value 0
time 1685445127 631715, type 3, code 0, value 39193
time 1685445127 631715, type 0, code 0, value 0
time 1685445127 641551, type 3, code 0, value 39056
time 1685445127 641551, type 3, code 1, value 36425
time 1685445127 641551, type 0, code 0, value 0
time 1685445127 649746, type 3, code 0, value 38954
time 1685445127 649746, type 3, code 1, value 36356
time 1685445127 649746, type 0, code 0, value 0
time 1685445127 657380, type 3, code 0, value 38919
time 1685445127 657380, type 3, code 1, value 36217
time 1685445127 657380, type 0, code 0, value 0
time 1685445127 665263, type 3, code 1, value 36148
time 1685445127 665263, type 0, code 0, value 0
time 1685445127 673366, type 3, code 0, value 38885
time 1685445127 673366, type 3, code 1, value 36078
time 1685445127 673366, type 0, code 0, value 0
time 1685445127 681234, type 3, code 0, value 38851
time 1685445127 681234, type 3, code 1, value 36009
time 1685445127 681234, type 0, code 0, value 0
time 1685445127 689366, type 3, code 1, value 35801
time 1685445127 689366, type 0, code 0, value 0
time 1685445127 697514, type 3, code 1, value 35662
time 1685445127 697514, type 0, code 0, value 0
time 1685445127 705996, type 3, code 1, value 35454
time 1685445127 705996, type 0, code 0, value 0
time 1685445127 713465, type 3, code 1, value 35177
time 1685445127 713465, type 0, code 0, value 0
time 1685445127 721618, type 3, code 1, value 35108
time 1685445127 721618, type 0, code 0, value 0
time 1685445127 729621, type 3, code 1, value 34899
time 1685445127 729621, type 0, code 0, value 0
time 1685445127 737569, type 3, code 1, value 34830
time 1685445127 737569, type 0, code 0, value 0
time 1685445127 747082, type 3, code 1, value 34761
time 1685445127 747082, type 0, code 0, value 0
time 1685445128 203550, type 3, code 0, value 38885
time 1685445128 203550, type 3, code 1, value 34691
time 1685445128 203550, type 0, code 0, value 0
time 1685445128 293783, type 3, code 1, value 34622
time 1685445128 293783, type 0, code 0, value 0
time 1685445128 325288, type 3, code 0, value 38851
time 1685445128 325288, type 0, code 0, value 0
time 1685445128 333480, type 3, code 0, value 38783
time 1685445128 333480, type 0, code 0, value 0
time 1685445128 341337, type 3, code 0, value 38681
time 1685445128 341337, type 0, code 0, value 0
time 1685445128 349605, type 3, code 0, value 38510
time 1685445128 349605, type 3, code 1, value 34553
time 1685445128 349605, type 0, code 0, value 0
time 1685445128 357504, type 3, code 0, value 38305
time 1685445128 357504, type 3, code 1, value 34483
time 1685445128 357504, type 0, code 0, value 0
time 1685445128 365529, type 3, code 0, value 38203
time 1685445128 365529, type 3, code 1, value 34414
time 1685445128 365529, type 0, code 0, value 0
time 1685445128 373606, type 3, code 0, value 38100
time 1685445128 373606, type 3, code 1, value 34275
time 1685445128 373606, type 0, code 0, value 0
time 1685445128 381570, type 3, code 0, value 37998
time 1685445128 381570, type 3, code 1, value 34206
time 1685445128 381570, type 0, code 0, value 0
time 1685445128 389305, type 3, code 0, value 37895
time 1685445128 389305, type 3, code 1, value 34137
time 1685445128 389305, type 0, code 0, value 0
time 1685445128 397517, type 3, code 1, value 34067
time 1685445128 397517, type 0, code 0, value 0
time 1685445128 405867, type 3, code 0, value 37861
time 1685445128 405867, type 3, code 1, value 33998
time 1685445128 405867, type 0, code 0, value 0
time 1685445128 421695, type 3, code 1, value 33929
time 1685445128 421695, type 0, code 0, value 0
time 1685445128 445744, type 3, code 0, value 37827
time 1685445128 445744, type 0, code 0, value 0
time 1685445128 655347, type 3, code 0, value 37793
time 1685445128 655347, type 0, code 0, value 0
time 1685445128 687502, type 3, code 1, value 33859
time 1685445128 687502, type 0, code 0, value 0
time 1685445128 703558, type 3, code 1, value 33790
time 1685445128 703558, type 0, code 0, value 0
time 1685445128 711581, type 3, code 0, value 37827
time 1685445128 711581, type 0, code 0, value 0
time 1685445128 720087, type 3, code 0, value 37861
time 1685445128 720087, type 0, code 0, value 0
time 1685445128 727477, type 3, code 1, value 33721
time 1685445128 727477, type 0, code 0, value 0
time 1685445128 744183, type 3, code 1, value 33651
time 1685445128 744183, type 0, code 0, value 0
time 1685445128 759492, type 3, code 1, value 33582
time 1685445128 759492, type 0, code 0, value 0
time 1685445128 776686, type 3, code 0, value 37895
time 1685445128 776686, type 0, code 0, value 0
time 1685445128 784214, type 3, code 0, value 37930
time 1685445128 784214, type 0, code 0, value 0
time 1685445128 809461, type 3, code 1, value 33513
time 1685445128 809461, type 0, code 0, value 0
time 1685445128 857840, type 3, code 1, value 33443
time 1685445128 857840, type 0, code 0, value 0
time 1685445128 866878, type 3, code 0, value 37964
time 1685445128 866878, type 0, code 0, value 0
time 1685445128 881492, type 3, code 0, value 37998
time 1685445128 881492, type 0, code 0, value 0
time 1685445128 929340, type 3, code 0, value 38032
time 1685445128 929340, type 3, code 1, value 33374
time 1685445128 929340, type 0, code 0, value 0
time 1685445129 69092, type 3, code 0, value 38100
time 1685445129 69092, type 3, code 1, value 33304
time 1685445129 69092, type 0, code 0, value 0
time 1685445129 77856, type 3, code 0, value 38134
time 1685445129 77856, type 0, code 0, value 0
time 1685445129 84358, type 3, code 0, value 38169
time 1685445129 84358, type 3, code 1, value 33235
time 1685445129 84358, type 0, code 0, value 0
time 1685445129 89535, type 3, code 0, value 38203
time 1685445129 89535, type 0, code 0, value 0
time 1685445129 100132, type 3, code 0, value 38237
time 1685445129 100132, type 0, code 0, value 0
time 1685445129 105715, type 3, code 0, value 38271
time 1685445129 105715, type 3, code 1, value 33166
time 1685445129 105715, type 0, code 0, value 0
time 1685445129 115671, type 3, code 0, value 38305
time 1685445129 115671, type 0, code 0, value 0
time 1685445129 123648, type 3, code 1, value 33096
time 1685445129 123648, type 0, code 0, value 0
time 1685445130 710242, type 3, code 0, value 38407
time 1685445130 710242, type 0, code 0, value 0
time 1685445130 718874, type 3, code 0, value 38544
time 1685445130 718874, type 3, code 1, value 33027
time 1685445130 718874, type 0, code 0, value 0
time 1685445130 725905, type 3, code 0, value 38681
time 1685445130 725905, type 3, code 1, value 32958
time 1685445130 725905, type 0, code 0, value 0
time 1685445130 733772, type 3, code 0, value 38919
time 1685445130 733772, type 3, code 1, value 32819
time 1685445130 733772, type 0, code 0, value 0
time 1685445130 741378, type 3, code 0, value 39022
time 1685445130 741378, type 0, code 0, value 0
time 1685445130 749608, type 3, code 0, value 39124
time 1685445130 749608, type 3, code 1, value 32750
time 1685445130 749608, type 0, code 0, value 0
time 1685445130 760117, type 3, code 0, value 39227
time 1685445130 760117, type 0, code 0, value 0
